"subject_id","rt","responses","question_order","date","type","Phase","time_elapsed","internal_node_id","response","key_press","ListLength","Trial_index","correct","Block","word1","word2","Context","ContextLabel","Context_position","ContextSize","NoneListType","cue","target","SequenceLength","sequence","letterSeen","queriedPosition","correct_01","Gender","Age","Cheated_pairs","Cheated_letters","validity_rt","validity","RoughContextSize","Error_type"
"0p3k92ho3rvaqpe",2.74620000004768,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",706750,"0.0-326.0","zebra",32,20,18,"TRUE",1,NA,NA,"./images/animals.jpg","animals","center","4","lowSimList","toad","zebra",NA,NA,NA,12,1,"male",35,FALSE,FALSE,TRUE,TRUE,"1_small","Correct"
"0p3k92ho3rvaqpe",9.77289999997616,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",721216,"0.0-330.0","0",32,20,19,"FALSE",1,NA,NA,"./images/jobs.jpg","jobs","center","16","lowSimList","coder","lawyer",NA,NA,NA,7,0,"male",35,FALSE,FALSE,TRUE,TRUE,"3_large","Omission"
"0p3k92ho3rvaqpe",6.59589999997616,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",730831,"0.0-334.0","tutor",32,20,20,"TRUE",1,NA,NA,"./images/jobs.jpg","jobs","center","16","lowSimList","smith","tutor",NA,NA,NA,16,1,"male",35,FALSE,FALSE,TRUE,TRUE,"3_large","Correct"
"0p3k92ho3rvaqpe",24.4381000000238,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",1341768,"0.0-588.0","kuwaut",32,20,1,"TRUE",2,NA,NA,"./images/countries.jpg","countries","center","9","lowSimList","tonga","kuwait",NA,NA,NA,16,1,"male",35,FALSE,FALSE,TRUE,TRUE,"2_medium","Correct"
"0p3k92ho3rvaqpe",2.96259999990463,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",1348704,"0.0-592.0","curtain",32,20,2,"TRUE",2,NA,NA,"./images/furniature.jpg","furniature","center","11","lowSimList","futon","curtain",NA,NA,NA,6,1,"male",35,FALSE,FALSE,TRUE,TRUE,"2_medium","Correct"
"0p3k92ho3rvaqpe",5.5385,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",1358616,"0.0-596.0","couch",32,20,3,"TRUE",2,NA,NA,"./images/furniature.jpg","furniature","center","11","lowSimList","shelf","couch",NA,NA,NA,17,1,"male",35,FALSE,FALSE,TRUE,TRUE,"2_medium","Correct"
"0p3k92ho3rvaqpe",4.35429999995232,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",1366462,"0.0-600.0","drawer",32,20,4,"TRUE",2,NA,NA,"./images/furniature.jpg","furniature","center","11","lowSimList","armchair","drawer",NA,NA,NA,18,1,"male",35,FALSE,FALSE,TRUE,TRUE,"2_medium","Correct"
"0p3k92ho3rvaqpe",1.89079999995232,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",1374695,"0.0-604.0","canada",32,20,5,"TRUE",2,NA,NA,"./images/countries.jpg","countries","center","9","lowSimList","togo","canada",NA,NA,NA,19,1,"male",35,FALSE,FALSE,TRUE,TRUE,"2_medium","Correct"
"0p3k92ho3rvaqpe",1.1875,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",1380360,"0.0-608.0","0",32,20,6,"FALSE",2,NA,NA,"./images/furniature.jpg","furniature","center","11","lowSimList","hanger","divan",NA,NA,NA,14,0,"male",35,FALSE,FALSE,TRUE,TRUE,"2_medium","Omission"
"0p3k92ho3rvaqpe",4.01879999995232,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",1390344,"0.0-612.0","bench",32,20,7,"TRUE",2,NA,NA,"./images/furniature.jpg","furniature","center","11","lowSimList","trolley","bench",NA,NA,NA,8,1,"male",35,FALSE,FALSE,TRUE,TRUE,"2_medium","Correct"
"0p3k92ho3rvaqpe",3.73160000002384,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",1397936,"0.0-616.0","latvia",32,20,8,"TRUE",2,NA,NA,"./images/countries.jpg","countries","center","9","lowSimList","tunisia","latvia",NA,NA,NA,10,1,"male",35,FALSE,FALSE,TRUE,TRUE,"2_medium","Correct"
"0p3k92ho3rvaqpe",2.28989999997616,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",1404648,"0.0-620.0","ottoman",32,20,9,"TRUE",2,NA,NA,"./images/furniature.jpg","furniature","center","11","lowSimList","recliner","ottoman",NA,NA,NA,9,1,"male",35,FALSE,FALSE,TRUE,TRUE,"2_medium","Correct"
"0p3k92ho3rvaqpe",6.07939999997616,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",1415016,"0.0-624.0","dresser",32,20,10,"TRUE",2,NA,NA,"./images/furniature.jpg","furniature","center","11","lowSimList","buffet","dresser",NA,NA,NA,15,1,"male",35,FALSE,FALSE,TRUE,TRUE,"2_medium","Correct"
"0p3k92ho3rvaqpe",1.45259999990463,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",1420784,"0.0-628.0","stand",32,20,11,"TRUE",2,NA,NA,"./images/furniature.jpg","furniature","center","11","lowSimList","chest","stand",NA,NA,NA,12,1,"male",35,FALSE,FALSE,TRUE,TRUE,"2_medium","Correct"
"0p3k92ho3rvaqpe",1.64360000002384,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",1425960,"0.0-632.0","uganda",32,20,12,"TRUE",2,NA,NA,"./images/countries.jpg","countries","center","9","lowSimList","brazil","uganda",NA,NA,NA,20,1,"male",35,FALSE,FALSE,TRUE,TRUE,"2_medium","Correct"
"0p3k92ho3rvaqpe",1.793,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",1432208,"0.0-636.0","serbia",32,20,13,"TRUE",2,NA,NA,"./images/countries.jpg","countries","center","9","lowSimList","sierra","serbia",NA,NA,NA,7,1,"male",35,FALSE,FALSE,TRUE,TRUE,"2_medium","Correct"
"0p3k92ho3rvaqpe",3.667,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",1439784,"0.0-640.0","rocker",32,20,14,"TRUE",2,NA,NA,"./images/furniature.jpg","furniature","center","11","lowSimList","loveseat","rocker",NA,NA,NA,5,1,"male",35,FALSE,FALSE,TRUE,TRUE,"2_medium","Correct"
"0p3k92ho3rvaqpe",3.15559999990463,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",1447144,"0.0-644.0","0",32,20,15,"FALSE",2,NA,NA,"./images/furniature.jpg","furniature","center","11","lowSimList","table","armoire",NA,NA,NA,2,0,"male",35,FALSE,FALSE,TRUE,TRUE,"2_medium","Omission"
"0p3k92ho3rvaqpe",4.50789999997616,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",1456136,"0.0-648.0","israel",32,20,16,"TRUE",2,NA,NA,"./images/countries.jpg","countries","center","9","lowSimList","zambia","israel",NA,NA,NA,1,1,"male",35,FALSE,FALSE,TRUE,TRUE,"2_medium","Correct"
"0p3k92ho3rvaqpe",2.194,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",1464552,"0.0-652.0","CONGO",32,20,17,"FALSE",2,NA,NA,"./images/countries.jpg","countries","center","9","lowSimList","germany","congo",NA,NA,NA,13,0,"male",35,FALSE,FALSE,TRUE,TRUE,"2_medium","Correct (missed)"
"0p3k92ho3rvaqpe",4.19460000002384,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",1472912,"0.0-656.0","italy",32,20,18,"TRUE",2,NA,NA,"./images/countries.jpg","countries","center","9","lowSimList","ghana","italy",NA,NA,NA,3,1,"male",35,FALSE,FALSE,TRUE,TRUE,"2_medium","Correct"
"0p3k92ho3rvaqpe",6.15260000002384,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",1483111,"0.0-660.0","0",32,20,19,"FALSE",2,NA,NA,"./images/furniature.jpg","furniature","center","11","lowSimList","hutch","pouffe",NA,NA,NA,4,0,"male",35,FALSE,FALSE,TRUE,TRUE,"2_medium","Omission"
"0p3k92ho3rvaqpe",6.94779999995232,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",1494112,"0.0-664.0","angola",32,20,20,"TRUE",2,NA,NA,"./images/countries.jpg","countries","center","9","lowSimList","yemen","angola",NA,NA,NA,11,1,"male",35,FALSE,FALSE,TRUE,TRUE,"2_medium","Correct"
"0p3k92ho3rvaqpe",6.77929999995232,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",2091576,"0.0-918.0","gold",32,20,1,"TRUE",3,NA,NA,"./images/colors.jpg","colors","center","18","lowSimList","plum","gold",NA,NA,NA,10,1,"male",35,FALSE,FALSE,TRUE,TRUE,"3_large","Correct"
