,X,rt,stimulus,key_press,ListLength,Trial_index,Phase,correct,ExperimentalPhase,Block,word1,word2,save,date,subject_id,trial_type,trial_index,time_elapsed,internal_node_id,response,cue,target,SequenceLength,sequence,letterSeen,queriedPosition,Stimulus_type,TrialType,timeMs,timeMin,score,correct_01,validTrials,validID,W2VWordPairsSim,SimBins,Error_type,W2VReponseCueSim,W2VReponseTargetSim
0,150,4226.39999985695,<h1>sheath</h1><br><br><br> Please press space as soon as you recall the target.,32,30,1,CuePresentation,False,True,1,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,329,643698,0.0-329.0,0,sheath,knife,,,,5,,,,,,0,True,False,0.735375776651981,4,Omission,999.0,999.0
1,152,10179.5999999046,<h1>earwig</h1><br><br><br> Please press space as soon as you recall the target.,32,30,2,CuePresentation,False,True,1,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,333,657779,0.0-333.0,0,earwig,walnut,,,,7,,,,,,0,True,False,0.242173377562161,2,Omission,999.0,999.0
2,154,12688.5999999046,<h1>lamp</h1><br><br><br> Please press space as soon as you recall the target.,32,30,3,CuePresentation,False,True,1,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,337,674193,0.0-337.0,head,lamp,candle,,,,22,,,,,,0,False,False,0.698749663319853,4,Intrusion,0.2202513467975047,0.15972137935822617
3,156,4736.5,<h1>sheet</h1><br><br><br> Please press space as soon as you recall the target.,32,30,4,CuePresentation,False,True,1,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,341,682545,0.0-341.0,0,sheet,suit,,,,4,,,,,,0,True,False,0.153411380957624,1,Omission,999.0,999.0
4,158,8928.70000004768,<h1>bumper</h1><br><br><br> Please press space as soon as you recall the target.,32,30,5,CuePresentation,False,True,1,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,345,695160,0.0-345.0,car,bumper,tank,,,,17,,,,,,0,False,False,0.337314081016891,2,Intrusion,0.5452532939087595,0.34006133072333394
5,160,11717.4000000954,<h1>moth</h1><br><br><br> Please press space as soon as you recall the target.,32,30,6,CuePresentation,False,True,1,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,349,710716,0.0-349.0,0,moth,fungus,,,,9,,,,,,0,True,False,0.421186232744235,3,Omission,999.0,999.0
6,162,10255.3000001907,<h1>girl</h1><br><br><br> Please press space as soon as you recall the target.,32,30,7,CuePresentation,False,True,1,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,353,723826,0.0-353.0,0,girl,chick,,,,18,,,,,,0,False,False,0.624724496623479,4,Omission,999.0,999.0
7,164,6208.89999985695,<h1>tape</h1><br><br><br> Please press space as soon as you recall the target.,32,30,8,CuePresentation,False,True,1,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,357,732984,0.0-357.0,earwig,tape,wire,,,,27,,,,,,0,False,False,0.501096990479819,3,Intrusion,0.056054631305640805,0.09515731687362965
8,166,8186.20000004768,<h1>teabag</h1><br><br><br> Please press space as soon as you recall the target.,32,30,9,CuePresentation,False,True,1,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,361,745676,0.0-361.0,0,teabag,coffee,,,,2,,,,,,0,True,False,0.806588166583034,5,Omission,999.0,999.0
9,168,2250.0,<h1>knee</h1><br><br><br> Please press space as soon as you recall the target.,32,30,10,CuePresentation,True,True,1,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,365,750911,0.0-365.0,wrist,knee,wrist,,,,6,,,,,,1,False,False,0.669356171840164,4,Correct,999.0,999.0
